Yeməyin Adı,Mənşə,Bölgə,Kateqoriya,Tərkib hissələri,Hazırlanma qaydası,Hazırlanma müddəti,Çətinlik dərəcəsi,Porsiya sayı,Tarixi məlumat/Arxa plan,Təqdim təklifləri,Şəkil Linki
Qərbi Azərbaycan Badımcan dolması,Qərbi Azərbaycan (İrəvan Xanlığı mətbəxi),,Dolma,kiçik badımcanlar; möhkəm pomidorlar; bibərlər; döymə ət (qiymə deyil); noxud ləpəsi (bişmiş və qabığı soyulmuş); soğan (xırda doğranmış); kərə yağı (bol miqdarda); keşniş (xırda doğranmış); reyhan (bol miqdarda); duz; istiot; ət suyu.,"1) Soğan xırda doğranıb bol kərə yağında qızılı rəng alana qədər qovrulur. 2) Döymə ət əlavə edilib yaxşıca qızarana qədər qovrulur. 3) Bişmiş və qabığı soyulmuş noxud ləpəsi və pomidorların içindən çıxarılan ləpə ət-soğan qarışığına əlavə edilir. 4) Duz, istiot, xırda doğranmış keşniş və bol reyhan əlavə edilib qarışdırılır. 5) Badımcanlar, pomidorlar və bibərlər yüngülcə pörtlədilir. Badımcanların içi çıxarılır (və ya uzununa kəsilir). 6) Tərəvəzlərin içi hazırlanmış qarışıqla doldurulur. 7) Doldurulmuş tərəvəzlər qazana düzülür, az miqdarda ət suyu əlavə edilir və zəif odda bişirilir.",Təxminən 90-120 dəq,Orta,Bilinmir,Qərbi Azərbaycan Badımcan dolması İrəvan Xanlığı mətbəxinin incilərindən biridir. Xüsusilə döymə ət və bol reyhan istifadəsi ilə fərqlənir.,İsti halda təqdim edilir.,[youtube.com saytından şəkil linki əlavə edin]
Balıq Çörəyi (Naxçıvan Çöçəsi),Naxçıvan (İrəvan mətbəxi ilə əlaqəli),,Çörək/Şirniyyat,"Xəmir üçün: un – 1kq; kərə yağı – 350qr; yumurta – 2ədəd; süd – 1,5stakan; xama – 2-3qaşıg (qatıq da olar); duz – 1çay qaşığı; şəkər – 2çay qaşıgı; maya – 2çay qaşıgı. İçlik (1-ci növ): qoz ləpəsi – 300qr; soğan – 600qr; kərə yagi – 150qr; un – 0,5stakan (zövqə qörə); duz, istiot, sarıkök. İçlik (2-ci növ): mal əti – 500 qr; soğan – 400 qr; qoz – 200 qr; darçın – 1/2 ç.q; duz, istiot (zövqə görə).","Xəmir üçün bütün ərzaqları qarışdırıb yumşaq xəmir yoğurun. Xəmiri kündələrə ayırın. Hər kündəni açıb içlik qoyun. Kənarlarını bərkidin, şəkərbura kimi bükün, çəngəl ilə naxışlayın. Üzərinə yumurta sarısı çəkib sobada bişirin. (Qeyd: hər iki içliyi etmək istəsəniz xəmirin miqdarini artirin 1kq unla olan xəmirdən 34-36 ədəd çıxır. Yazdigim içlik 1 kq undan yogrulan xəmir üçündür.)",Təxminən 90-120 dəq,Orta,34-36 ədəd (1 kq undan),"Balıq Çörəyi, xüsusilə Naxçıvan və İrəvan mətbəxində geniş yayılmış, bayram süfrələrinin bəzəyi olan ənənəvi bir çörək növüdür. Görünüşü balığa bənzəyir, üzərindəki pullar bolluq və bərəkət mənasına gəlir.",İsti halda çay ilə təqdim edilir.,[tiktok.com saytından şəkil linki əlavə edin]
Balqabaq qutabı (kətə),Ümumi Azərbaycan,,Xəmir yeməyi,Xəmir üçün: un – 4 st; duz – 1 ç.q; ilıq su – aparanadək. İçlik üçün: balqabaq – 500 q; baş soğan – 2 ədəd; əridilmiş kərə yağı – 2 x.q; nar – 1 ədəd; darçın – zövqə görə; duz – zövqə görə. Qızartmaq üçün: bitki ya da kərə yağı.,"1) Balqabağın qabığını soyub yuyun, xırda dördkünc doğrayın. 2) Az su töküb öz buğunda püre şəklinə düşənə qədər bişirin. 3) Soğanı xırda doğrayın. 4) Yağ və duz əlavə edib qızılı rəngdə olana qədər qovurun. 5) Sonra balqabağı əlavə edib qovurun. 6) Narı dənələyin. Onu da içliyə əlavə edib 5-10 dəqiqə qovurun. 7) İçliyə zövqə görə duz, istiot və darçın töküb qarışdırın. Tamam suyu çəkilənə qədər qovurub götürün. Sonra qaba boşaldın soyuyur. 8) Una su duz töküb əvvəlcə qaşıqla qarışdırın sonra normal xəmir yoğurun. 9) Xəmiri 6 hissəyə bölüb kündələyin. 10) Adi qaydada nazik yuxa yayın. Üstünə kasa qoyub dairəvi kəsin. 11) Dairələrin bir tərəfinə içlikdən qoyun. 12) Qatlayıb yanlarını bərkidin. 13) Hazır qutabları əvvəlcə sacda ya da tavada bişirin. Süfrəyə verildikdə yağda qızardın.",60-90 dəq,Orta,4-6,Balqabaq qutabı Azərbaycanın milli xörəklərindən biridir. Payızda balqabaq mövsümündə tez-tez hazırlanır.,"İsti halda, üzərinə kərə yağı sürtülərək təqdim edilir.",[resept.az saytından şəkil linki əlavə edin]
Boranılı yarma sıyığı,Ümumi Azərbaycan,,Sıyıq/Tərəvəz yeməyi,boranı – 300 q; buğda yarması – 1 st; süd – 2 st; şəkər tozu – 2 ç.q (artıq da götürə bilərsiniz); duz – 0.5 ç.q.,"1) Boranının qabığını soyun, kubik doğrayın. 2) Yarmanı bir neçə dəfə yuyun. 3) Bütün ərzaqları (boranı, yarma, şəkər tozu, duz) qazana yığın, stəkanın dörddə biri qədər su tökün. 4) Qazanı iti ocağın üstünə qoyun. Qazanın dibində su qaynamağa başlayanda ocağı çox azaldın, mikrodalğalı sobada qızdırdığınız südü əlavə edin. 5) 20 dəqiqə sonra kərə yağı əlavə edin və bir qədər də, ərzaqlar yumşalanadək vam odda dəmləyin. (Alternativ olaraq, ərzaqların hamısını qazana yığıb sobaya qoyun və 2 saat vam odda bişirin).",60-120 dəq,Asan,2-3,"Boranılı yarma sıyığı Azərbaycan mətbəxində payız-qış aylarında hazırlanan, boranı ilə zənginləşdirilmiş faydalı və qidalı bir yeməkdir.","İsti halda, üzərinə kərə yağı əlavə edilərək təqdim edilir.",[dadli.az saytından şəkil linki əlavə edin]
Bozbaş,Ümumi Azərbaycan,,Şorba,qoyun əti – 1 kq; noxud – yarım stəkan; kartof – 5 ədəd; soğan – 1 ədəd; kərə yağı – zövqə görə; alça turşusu – 3 ədəd; nanə – zövqə görə; sarıkök – zövqə görə; duz – zövqə görə.,"1) Ət yuyulur, üzərinə su tökülüb bişənə kimi qaynadılır (təqribi 2 saat). Ət qaynadıqda üzərinə yığılan köpük mütləq qaşıqla yığılmalıdı. 2) Noxud yuyulur, üzərinə su tökülüb bişənə kimi qaynadılır. 3) Ət bişdikdən sonra üzərinə bişmiş noxud, 2 hissəyə bölünmüş kartoflar, 1 ədəd baş soğan (doğranılmır), kərə yağı, duz, sarıkök, alça turşusu əlavə edilir. 4) Yemək aşağı istilikdə kartof yumuşalana kimi bişirilir. 5) Yemək hazır olduqda baş soğan içindən çıxarılır və süfrəyə verildikdə üzərinə nanə qurusu səpilir.",60-120 dəq,Orta,4-6,Bozbaş Azərbaycanın milli mətbəxinin ənənəvi şorbalarından biridir. Qoyun əti ilə hazırlanır və müxtəlif tərəvəzlərlə zənginləşdirilir.,"İsti halda, üzərinə nanə qurusu səpilərək təqdim edilir. Yanında çörək və ya turşu ilə yeyilə bilər.",[dadli.az saytından şəkil linki əlavə edin]
Dovğa,Ümumi Azərbaycan,,Şorba,qatıq – 1 l; yumurta – 1 ədəd; un – 1 x.q.; düyü – 2 x.q.; şüyüd – 1 dəstə; keşniş – 1 dəstə; nanə – 1 dəstə (yaxud dağ keşnişi); ispanaq – 1 dəstə.,"1) Qatığı qazana töküb qarışdırın, içində lopalar qalmasın. 2) Yuyulmuş düyü, yumurta, un əlavə edib yenə qarışdırın. 3) Qazanı ocağa qoyub dayanmadan qarışdırın. 4) Qaynara düşəndən sonra əlinizi saxlayıb əvvəlcədən yuyulmuş göyərtini xırda-xırda doğrayın. 5) Düyü bişəndən sonra göyərtini əlavə edib daha 5 dəqiqə qaynadın.",40-50 dəq,Asan,2-4,Dovğa Azərbaycanın milli mətbəxinin ənənəvi yeməklərindən biridir. Adətən toy süfrələrində təqdim olunur. Müxtəlif regional variasiyaları mövcuddur.,"İsti-isti, yaxud soyuq, dərin boşqabda, kasada, yaxud stəkanda verilə bilər. Ətli və ya noxudlu variantları da mövcuddur.",[dadli.az saytından şəkil linki əlavə edin]
Düşbərə,Ümumi Azərbaycan,,Sulu yemək,Xəmir üçün: un – 3 st; yumurta – 1 ədəd; duz – ½ ç.q; su – təxminən 1 st. Yuxaları yaymaq üçün: un – 2-3 x.q. İçlik üçün: soğanla çəkilmiş qoyun əti – 250-300 q (250-300 qr ət ilə 1 ədəd balaca baş soğanı maşından keçirin); duz – zövqə görə; istiot – zövqə görə. Suyu üçün: baş soğan – 2 ədəd; əridilmiş kərə yağı – 2 x.q; su ya da ət bulyonu – 4 l; duz – zövqə görə; istiot – zövqə görə; nanə qurusu (ya da təzə keşniş).,"1) Unu ələyib duz səpib yumurtanı sındırın və sudan töküb əvvəl qaşıqla sonra əllə qarışdırıb normal xəmir yoğurun. 2) Xəmirdən 3 kündə düzəldin. Nazik yuxadan bir az qalın yuxa yayın. 3) 2×2 sm qalınlıqda kvadratlar kəsib 2-3 q içlikdən qoyub bükün. 4) Soğanı doğrayıb duz səpib yağda qızılı rəngdə olana qədər qızardın. 5) Qızardılmış soğanın üstünə suyu (bulyonu) əlavə edib duzunu tökün. Su (bulyon) qaynayanda bükdüyünüz düşbərələri tez-tez tək-tək suya tökün. Tökdükcə qarışdırın ki, bir birinə yapışmasın. Duzuna bir də baxın. 15-20 dəqiqə qaynadırın. 6) Hazır olana yaxın nanə qurusunu əlavə edin.",90-120 dəq,Çətin,8,"Düşbərə Azərbaycanın milli xörəklərindən biridir. Xüsusilə qış aylarında sevilən, isti və qidalı bir yeməkdir.","İsti halda, yanında sarımsaqla sirkə ilə təqdim edilir.",[resept.az saytından şəkil linki əlavə edin]
Ət Qutabı,"Balakən Rayonu, Qərbi Azərbaycan",,Xəmir yeməyi,"Xəmir üçün: un – 4 fincan (600 q) + yoğurmaq üçün əlavə; duz – 2 x.q; su – 2 fincan (otaq temperaturunda). İçlik üçün: ət (qoyun yaxud mal əti və ya qarışıq) – 450-500 q; soğan – 2 ədəd (orta ölçülü, ət maşınından keçirilmiş); palçıq lavaşana – 1 x.q (və ya təzə nar dənələri – ½ fincan); duz – zövqə görə; istiot – zövqə görə. (Şimal-qərb zonalarında, xüsusi ilə də Balakəndə içliyə 1 çimdik şüyüd toxumu, 1 qədər doğranmış sarımsaq və doğranmış təzə keşniş də qatırlar). Digər: şit yağı/ərinməmiş kərə yağı (1-ci üsul üçün); bitki yağı (2-ci üsul üçün); sumaq.","1) Xəmirin hazırlanması: Böyük bir qaba un əlavə olunur, duz vurulur qarışdırılır. Unun içində yuva açılır, su az-az əlavə olunmaqla xəmir halını tutanadək əllə qarışdırılır. Xəmir formasına gəldikdə sonra üzərinə un səpilmiş yuxa yayan taxtanın üzərində 10 dəqiqə yoğrulur. Yoğurarkən ələ yapışmasın deyə tez-tez un səpilir. Yoğrulmuş xəmir 12 bərabər ölçülü hissələrə bölünüb əllə kündələnməlidir. Bir kündəylə işlərkən digərlərinin üzərini dəsmalla örmək lazımdır ki, kündələr qurumasın. 2) İçliyin hazırlanma qaydası: Bir qaba içlik üçün lazım olan ərzaqlar tökülür və yaxşıca qarışdırılır. Əgər lavaşana əvəzinə nar dənələri istifadə olunacaqsa o zaman ərzaqları elə qarışdırmaq lazımdır ki, narlar əzilməsin. 3) Yuxanın yayılması: Kündənin biri üzəri bir qədər unlanmış yuxayayan taxtanın üzərinə qoyulur və üstünə də bir qədər un səpilir. Kündə əllə basılıb yastılanır və oxlovla açılır. Diametri təxminən 12 sm olanadək xəmiri fırladaraq oxlovlar açmaq lazımdır. Sonra isə açılmış xəmirin üzərinə yenə azca un səpilir və əllə xəmirin üzərinə tam yayılır. 25 sm ölçüsündə dairə alınanadək yuxa açılmalıdır. 4) İçliyin doldurulması: Hazır yuxanın üzərinə yarıyadək ətli içlik qoyulub yayılır. İçlik sıx, lakin nazik olmalıdır. Sonra yuxanın digər yarısı ətli içliyin üzərinə qatlanıb, kənarları barmaqla ehmalca basılaraq bitişdirilir. 5) Bişirmə: Qutablar sacda/tavada bişirilir. Öncədən qızdırılmış sac yaxud yapışmayan tavada qutabın növbə ilə əvvəl bir, sonra isə digər tərəfi üzərində zərif qəhvəyi qabarcılar əmələ gələnədək qızardılır. Hazır bişmiş qutablar boşqaba qoyulur və elə isti halda üzərinə fırça ilə yağ çəkilir. Qutablar bu qayda ilə qızardılıb yağlanaraq bir boşqabda üst-üstə yığılır. Sonda üzərinə sumaq səpilib süfrəyə verilməlidir.",60-90 dəq,Orta,12 ədəd (6 nəfərlik),"Ət qutabı Azərbaycanın şimal-qərb bölgələrində, xüsusilə Balakən rayonunda geniş yayılmış ənənəvi yeməkdir. Sacda bişirilməsi ilə xarakterizə olunur.","İsti halda, üzərinə sumaq səpilərək və ayranla təqdim edilir.",[azcookbook.com saytından şəkil linki əlavə edin]
Əvəlikli çəkmə plov,Qərbi Azərbaycan,,Plov,soğan – 2 ədəd; toyuğun döş əti; əvəlik; düyü – 1 stəkan; su – 2 stəkan; yağ; duz.,"1) Əvvəlcə əvəlik suda isladılır. 2) Soğan doğranıb yağda qızılı rəng alanadək qızardılır. 3) Üzərinə toyuğun döş ətiylə əvəlik əlavə edilib azca bişirilir. 4) Üzərinə düyü və su tökülür, orta atəşdə suyu çəkilənə kimi bişirilir. 5) Suyu çəkildikdən sonra plov kimi dəmə qoyulur.",60-90 dəq,Orta,2-4,Əvəlikli çəkmə plov Qərbi Azərbaycan mətbəxinin ənənəvi və sevilən plov növlərindən biridir. Əvəlik (sorrel) ilə hazırlanması ona xüsusi dad verir.,İsti halda təqdim edilir.,[qadin.net saytından şəkil linki əlavə edin]
Əyirdək,"Ümumi Azərbaycan (Avropa mətbəxi kimi qeyd olunsa da, Azərbaycan mətbəxində də geniş yayılmışdır)",,Şirniyyat,duru yağ – 1 çay stəkanı; pudra şəkəri – 1 çay stəkanı; yumurta – 1 ədəd; qabartma tozu – 1 çay qaşığı; toz maya – 1 az; un – aldığı qədər. Qızartmaq üçün: duru yağ.,1) Xəmir üçün bütün ərzaqları bir qaba alıb yoğurun. Xəmirdən qoz böyüklüyündə kündələr ayırın. 2) Dəzgah üzərində oval şəkli verin. 3) Qızğın yağda qızardın. 4) Üzərinə şəkər səpin. 5) İsti və soyuq halda çay süfrəsinə verə bilərsiniz.,40-50 dəq,Asan,8-10,Əyirdək Azərbaycan mətbəxində sevilən şirniyyatlardan biridir. Sadə tərkibi və asan hazırlanması ilə fərqlənir.,"İsti və soyuq halda çay ilə təqdim edilir, üzərinə pudra şəkəri səpilir.",[dadli.az saytından şəkil linki əlavə edin]
